,CANT,DESCR,PRECIO_UNITARIO,COSTO_TOTAL_CALCULADO
71,10,"TER K 3/16""ØX1 1/2"" EXT.7MT MALLA Z/ESPA",551.25,2408.67
72,1,BAN P A/COMUN 200MMx102MM 390W127V T/TOR,364.55,52.48
73,1,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",662.0,139.82
74,30,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,8264.95
75,3,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,600.9
76,10,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,3726.73
77,6,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM,1450.0,2162.98
78,6,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",1450.0,2027.79
79,8,CARTUCHO 8MMØ X290MM 500W 220V,415.0,907.73
80,10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,272.0,771.29
81,2,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,1025.87,231.15
82,2,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,1587.25,330.39
83,2,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,2985.36,771.42
84,1,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V.",566.64,85.89
85,12,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",431.5,1151.56
86,12,"TER J 3/16""Øx8mm EXT. .90CMS CLAVIJA",528.3,1579.75
87,1,TER K 12MMØX22CM EXT8MT MAQ-ESPECIAL,1880.28,292.75
88,20,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,1425.02
89,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0,38.96
90,3,"TUB INOX 7/16""ØX500MM 3000W240V BUS3/4""",830.25,1090.0
91,1,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM",473.28,27.08
92,1,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC",1659.6,436.54
93,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,38.96
94,1,"TER K 1/8""ØX15CM EXT2MT MALLA INOX  ZAP",499.0,113.22
95,3,REPARACION DE SOLDADURA A PLACAS TUBULAR,900.0,742.57
96,3,"TUB INOX 1/2""Øx500mm LONG ""U"" 2000W 220V",1189.0,480.08
97,3,"TUB INOX 5/16""Øx320mm 4000W 230V TAPON",1435.0,1108.78
98,2,"CAS INOX 3/8""ØX2 1/2"" 175W 127V EXT.30CM",495.0,134.84
99,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,125.0,71.25
100,1,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",175.0,75.89
101,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,2428.6
102,2,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,2082.15
103,2,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,2597.36
104,1,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",925.6,387.87
105,1,"TUB INOX 7/16""Øx280mm U 9000W 240V PLACA",1517.63,435.3
106,4,"TUB INOX 1/4""ØX123MM 250W220V CIRCULAR/M",498.85,97.52
107,1,FAB BOBINA 8020 2000W 220V BASTIDOR NVO,2629.5,167.3
108,1,"RC 5/16""ØX37CM 300W 110V EXT. 25CM",535.09,104.4
109,2,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",1195.84,673.13
110,1,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,647.84
111,4,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE",2375.5,1744.19
112,2,TUE Ø 8 MM X 303 APROX 5000 W 220 V,2080.85,898.7
113,1,"TUBU"" 5/16""Øx21.5cm 2700W220V 3PZ COBRE""",2118.0,406.61
114,1,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH",1250.0,281.94
115,4,CAS INOX 12MMØX90MM 220W 110V  EXT.15CMS,617.0,268.86
116,2,BB INOX 40MMØX60MM 300W 240V EXT.30CM,510.0,75.53
117,1,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,13.38
118,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",1000.0,226.23
119,4,"TER J 3/16""ØX5"" EXT4MT RES/MALLA INOX",425.2,520.79
120,2,"TER J 3/16""ØX9"" EXT4MT RES/MALLA INOX",485.5,274.16
121,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0
122,2,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL""",3892.24,492.92
123,1,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,13.38
124,1,"TUB INOX 5/16""ØX25.5CM 2500W110V CLIP PL",871.5,174.76
125,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,318.0
126,2,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,493.89
127,1,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,90.18
128,4,"TERMOPOZO COBRE 3/8""x126mm 1/2""A1/2"" NPT",351.64,627.33
129,4,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",988.25,587.54
130,4,"TUB INOX 7/16""ØX26CM 1100W127V BUSH",828.69,747.79
131,4,"CAS INOX 1/2""ØX5"" 750W127V EXT.30CM",657.58,397.28
132,1,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL TAP",1125.0,130.78
133,1,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL PLA",1125.0,134.36
134,15,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,2842.01
135,1,"BOQUILLA 2X2""  350W 240V""",462.0,220.0
136,1,"TUB COBRE 5/16""ØX225MM 2400W115V TAP",2665.3,395.14
137,1,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP",1579.6,141.65
138,12,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55""",1800.18,6315.25
139,4,"BN 3""ØX5""ANCHO 1000W 220V CIERRE STD",533.6,603.18
140,10,PISTOLA DE AIRE 3500W 220V,720.0,967.82
141,3,"TUB INOX 5/8""ØX150CM 2590W 256V REC/ALET",1877.65,1599.82
142,7,"PT-100 3/16""ØX 1 1/2"" CON 3/8""-A1/2""NPT",972.0,2239.95
143,2,"TUB INOX 5/16""ØX307MM  2100W220V ""M"" CUA",1899.18,329.11
144,2,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",1022.5,336.79
145,3,"TUB INOX 7/16""ØX58CM 8000W240V ""U"" CLAMP",3859.99,1255.77
146,1,"TEA K"" 18mmØx540mm CABEZA MARINA""",1054.0,665.36
147,4,"TUB ""U"" 8mmØx650mm 10kW 440V 2pz TAPON",2399.01,2276.4
148,3,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°",1143.25,236.48
149,3,"RC 3/8""ØX175MM 375W125V EXT25CM",568.65,250.49
150,3,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,2373.3
151,3,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",705.5,431.66
152,2,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,444.0
153,2,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.85,227.19
154,10,"CBS INOX 5/8""ØX13"" 1700W 240V EXT.30CM",866.7,1539.68
155,6,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,514.25,675.84
156,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,307.5,87.1
157,2,"CBS INOX 3/8""ØX90CM 1300W 240V EXT.1MT",1046.11,595.19
158,3,"TER K 3/16""ØX1 1/2"" EXT.3MT MALLA S/ZAP",300.0,334.89
159,3,BN INOX 111MMØX85MM 1000W127V CIERRE STD,1991.0,548.24
160,4,"CAS INOX 3/8""ØX7"" 500W 127V EXT1MT",759.17,424.72
161,4,"CAS INOX 3/8""ØX8"" 500W 127V EXT1MT",788.05,601.92
162,2,BAN M/LUNA 129MMØX99MM 450W440V C/STD TO,420.0,73.84
163,1,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,299.62
164,3,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO,345.0,95.16
165,2,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,994.64,310.77
166,2,BAN P COMUN 197MMX31CM 2000W440V 4BA TOR,738.4,290.42
167,1,BAN A/COMUN 263mmØx115mm 2800W 220V STD,1452.18,150.74
168,6,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,104.34
169,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,336.93,106.55
170,6,CAM INOX 12.5MMØX100MM 750W 240V EXT30CM,568.26,539.13
